x,y
0,-8.031518577935044
1,-8.044981627422496
2,-8.059689285527748
3,-8.075623633234937
4,-8.092765256995882
5,-8.1110932723825
6,-8.130585349531248
7,-8.151217740348654
8,-8.172965307444676
9,-8.195801554758766
10,-8.219698659841224
11,-8.244627507750579
12,-8.270557726525642
13,-8.297457724189083
14,-8.325294727237374
15,-8.354034820570265
16,-8.383642988811099
17,-8.414083158967664
18,-8.445318244381577
19,-8.477310189912652
20,-8.51002001830324
21,-8.543407877666017
22,-8.577433090037347
23,-8.612054200937143
24,-8.647229029874742
25,-8.682914721739358
26,-8.719067799012407
27,-8.75564421473819
28,-8.792599406188307
29,-8.829888349154485
30,-8.867465612803649
31,-8.90528541502837
32,-8.943301678225332
33,-8.98146808543379
34,-9.019738136765637
35,-9.058065206058382
36,-9.096402597681923
37,-9.134703603429983
38,-9.172921559426884
39,-9.211009902980264
40,-9.248922229310562
41,-9.286612348088095
42,-9.324034339708847
43,-9.36114261124044
44,-9.397891951970115
45,-9.434237588486987
46,-9.470135239231572
47,-9.505541168446058
48,-9.540412239459558
49,-9.574705967243515
50,-9.608380570173171
51,-9.641395020932032
52,-9.673709096497333
53,-9.705283427145599
54,-9.736079544418592
55,-9.766059927991186
56,-9.79518805138413
57,-9.823428426465908
58,-9.850746646689577
59,-9.877109429011847
60,-9.902484654443336
61,-9.926841407180607
62,-9.950150012272317
63,-9.972382071773582
64,-9.993510499344486
65,-10.013509553250612
66,-10.0323548677254
67,-10.05002348265606
68,-10.066493871556938
69,-10.081745967796229
70,-10.095761189044069
71,-10.108522459912246
72,-10.120014232757935
73,-10.13022250662609
74,-10.139134844307474
75,-10.146740387491453
76,-10.153029869995208
77,-10.157995629053126
78,-10.161631614652713
79,-10.1639333969056
80,-10.164898171444664
81,-10.16452476284075
82,-10.162813626034719
83,-10.15976684578319
84,-10.155388134118581
85,-10.149682825826565
86,-10.142657871946454
87,-10.134321831302453
88,-10.124684860076005
89,-10.113758699432099
90,-10.10155666121442
