x,y
0,-2.7336255458293297
1,-2.9786107167246074
2,-3.2216526929383464
3,-3.462455365260273
4,-3.7007253527269723
5,-3.9361723600613923
6,-4.168509531352934
7,-4.3974537995471685
8,-4.622726231319467
9,-4.844052366912269
10,-5.061162554522036
11,-5.273792278828425
12,-5.481682483265468
13,-5.684579885642084
14,-5.882237286727434
15,-6.074413871425076
16,-6.260875502169096
17,-6.441395004184645
18,-6.615752442265409
19,-6.783735388730793
20,-6.945139182236321
21,-7.099767177121952
22,-7.247430982994539
23,-7.387950694252485
24,-7.52115510927303
25,-7.646881938995036
26,-7.7649780046432255
27,-7.875299424352898
28,-7.977711788467863
29,-8.072090323297852
30,-8.15832004313608
31,-8.236295890351592
32,-8.305922863385812
33,-8.367116132497317
34,-8.419801143113789
35,-8.463913706665291
36,-8.499400078788168
37,-8.526217024804238
38,-8.544331872395615
39,-8.553722551410885
40,-8.554377620754192
41,-8.546296282324453
42,-8.529488381987703
43,-8.503974397581443
44,-8.469785413965548
45,-8.426963085150144
46,-8.375559583546618
47,-8.315637536403571
48,-8.247269949505164
49,-8.17054011822481
50,-8.085541526042606
51,-7.99237773065009
52,-7.89116223778117
53,-7.782018362922852
54,-7.665079081074327
55,-7.54048686473741
56,-7.408393510335755
57,-7.268959953274273
58,-7.122356071864147
59,-6.968760480352289
60,-6.8083603113073625
61,-6.641350987627594
62,-6.467935984448079
63,-6.288326581237654
64,-6.102741604387424
65,-5.911407160604507
66,-5.714556361435842
67,-5.512429039257679
68,-5.305271455076757
69,-5.093335998499226
70,-4.876880880232768
71,-4.656169817496638
72,-4.431471712722845
73,-4.203060325939971
74,-3.971213941238726
75,-3.7362150277256774
76,-3.498349895378131
77,-3.257908346219537
78,-3.0151833212403654
79,-2.7704705434946293
80,-2.5240681578068935
81,-2.276276367528747
82,-2.0273970687872387
83,-1.7777334826709745
84,-1.5275897858019039
85,-1.277270739742985
86,-1.0270813196931423
87,-0.7773263429219859
88,-0.5283100973968978
89,-0.28033597105504793
90,-0.03370608217189215
