x,y
0,-1.2834999999999979
1,-1.1381222950908552
2,-0.9958816820356392
3,-0.856951459110871
4,-0.7215008913926244
5,-0.5896950045331036
6,-0.46169438370230625
7,-0.33765497793973026
8,-0.21772791015449272
9,-0.10205929300533989
10,0.00920994911511575
11,0.11594425177506332
12,0.21801357566787086
13,0.3152935650449489
14,0.4076656992240749
15,0.4950174369885886
16,0.577242353701527
17,0.6542402709676537
18,0.7259173786853986
19,0.7921863493400207
20,0.8529664443987295
21,0.9081836126781518
22,0.957770580564292
23,1.0016669339750675
24,1.039819191965562
25,1.072180871886319
26,1.0987125460152907
27,1.1193818895944405
28,1.1341637202124861
29,1.143040028485786
30,1.146
31,1.143040028485786
32,1.1341637202124857
33,1.11938188959444
34,1.09871254601529
35,1.0721808718863184
36,1.039819191965561
37,1.0016669339750661
38,0.9577705805642907
39,0.9081836126781503
40,0.852966444398728
41,0.7921863493400193
42,0.7259173786853963
43,0.6542402709676509
44,0.577242353701525
45,0.4950174369885867
46,0.4076656992240726
47,0.3152935650449459
48,0.21801357566786794
49,0.11594425177505997
50,0.009209949115112631
51,-0.10205929300534344
52,-0.21772791015449575
53,-0.3376549779397341
54,-0.46169438370231003
55,-0.5896950045331075
56,-0.7215008913926291
57,-0.8569514591108756
58,-0.9958816820356431
59,-1.1381222950908603
60,-1.2835000000000014
61,-1.431837676423358
62,-1.582954597751874
63,-1.736666651294689
64,-1.8927865625920852
65,-2.0511241235805775
66,-2.211486424332133
67,-2.373678088085204
68,-2.537501509281218
69,-2.7027570943165093
70,-2.869243504716386
71,-3.0367579024350437
72,-3.2050961969824736
73,-3.374053294077297
74,-3.543423345522551
75,-3.713000000000003
76,-3.8825766544774543
77,-4.051946705922709
78,-4.220903803017529
79,-4.38924209756496
80,-4.556756495283617
81,-4.723242905683495
82,-4.8884984907187885
83,-5.052321911914801
84,-5.214513575667872
85,-5.374875876419427
86,-5.53321343740792
87,-5.689333348705315
88,-5.843045402248129
89,-5.994162323576644
90,-6.142500000000002
