x,y
0,-1.2834999999999979
1,-1.5499856651293948
2,-1.8153647850038104
3,-2.0793140360441984
4,-2.3415118367464305
5,-2.601638739478826
6,-2.8593778196798842
7,-3.11441506198204
8,-3.366439742791026
9,-3.615144808854701
10,-3.8602272513601448
11,-4.101388475103223
12,-4.3383346622808405
13,-4.570777130462685
14,-4.798432684306293
15,-5.021023960586959
16,-5.238279766122089
17,-5.449935408178331
18,-5.6557330169588935
19,-5.855421859778169
20,-6.048758646540886
21,-6.2355078261536265
22,-6.415441873507539
23,-6.5883415666826375
24,-6.753996254035941
25,-6.912204110848061
26,-7.062772385215525
27,-7.205517632889279
28,-7.340265940773253
29,-7.466853138810673
30,-7.585124999999999
31,-7.694937428296751
32,-7.79615663417236
33,-7.88865929761609
34,-7.972332718381477
35,-8.047074953294217
36,-8.112794940454233
37,-8.169412610180556
38,-8.21685898256391
39,-8.255076251508095
40,-8.284017855157826
41,-8.303648532627166
42,-8.313944366959491
43,-8.314892814266623
44,-8.306492719011613
45,-8.288754315416593
46,-8.261699214993952
47,-8.225360380216038
48,-8.179782084355459
49,-8.125019857544922
50,-8.06114041912232
51,-7.9882215963435
52,-7.906352229561736
53,-7.815632063989437
54,-7.716171628173989
55,-7.608092099335721
56,-7.491525155732152
57,-7.366612816228301
58,-7.23350726726858
59,-7.092370677461062
60,-6.943375000000001
61,-6.786701763167358
62,-6.62254184916855
63,-6.451095261571892
64,-6.272570881635042
65,-6.08718621381539
66,-5.895167120774347
67,-5.696747548198514
68,-5.49216923977288
69,-5.281681442653395
70,-5.065540603797682
71,-4.844010057523941
72,-4.617359704678651
73,-4.385865683803939
74,-4.149810034705317
75,-3.909480354829633
76,-3.6651694488718625
77,-3.4171749720377034
78,-3.165799067396565
79,-2.9113479977667547
80,-2.654131772581435
81,-2.3944637701898746
82,-2.1326603560541955
83,-1.8690404973068002
84,-1.6039253741380457
85,-1.3376379884876586
86,-1.0705027705166252
87,-0.8028451833390234
88,-0.5349913264953292
89,-0.2672675386503892
90,-1.6979760520766871e-15
