x,y
0,-1.2834999999999979
3,-1.7366666512946847
6,-2.211486424332128
9,-2.7027570943165053
12,-3.2050961969824696
15,-3.712999999999997
18,-4.220903803017525
21,-4.72324290568349
24,-5.214513575667866
27,-5.689333348705311
30,-6.142499999999997
33,-6.569048540889125
36,-6.96430561629769
39,-7.323940706994656
42,-7.644013575667869
45,-7.921017436988585
48,-8.151917378685397
51,-8.33418361267815
54,-8.465819191965561
57,-8.54538188959444
60,-8.572000000000001
63,-8.545381889594442
66,-8.465819191965561
69,-8.334183612678151
72,-8.151917378685399
75,-7.921017436988589
78,-7.64401357566787
81,-7.323940706994661
84,-6.964305616297693
87,-6.5690485408891295
90,-6.142500000000002
