x,y
0,-8.572000000000001
3,-8.548520843548419
6,-8.47834061674509
9,-8.36222822884103
12,-8.201455831456189
15,-7.997784880620104
18,-7.753446837891024
21,-7.471118721996112
24,-7.153893778854067
27,-6.805247591325541
30,-6.429000000000002
33,-6.029273252222881
36,-5.6104468378910255
39,-5.177109506844918
42,-4.734008993565164
45,-4.2860000000000005
48,-3.8379910064348373
51,-3.3948904931550827
54,-2.9615531621089755
57,-2.5427267477771207
60,-2.143000000000001
63,-1.7667524086744608
66,-1.4181062211459334
69,-1.1008812780038888
72,-0.8185531621089754
75,-0.5742151193798959
78,-0.3705441685438128
81,-0.20977177115897205
84,-0.09365938325490894
87,-0.023479156451580593
90,-1.0565805749303928e-31
