x,y
0,0.21801357566787086
1,0.31529356504494893
2,0.4076656992240748
3,0.4950174369885886
4,0.577242353701527
5,0.6542402709676535
6,0.7259173786853986
7,0.7921863493400207
8,0.8529664443987296
9,0.9081836126781521
10,0.957770580564292
11,1.0016669339750675
12,1.0398191919655624
13,1.0721808718863195
14,1.0987125460152907
15,1.1193818895944407
16,1.1341637202124863
17,1.1430400284857862
18,1.146
19,1.1430400284857862
20,1.1341637202124861
21,1.11938188959444
22,1.09871254601529
23,1.0721808718863186
24,1.039819191965561
25,1.0016669339750663
26,0.9577705805642903
27,0.9081836126781504
28,0.8529664443987278
29,0.7921863493400187
30,0.7259173786853971
31,0.6542402709676515
32,0.577242353701525
33,0.4950174369885862
34,0.4076656992240724
35,0.3152935650449459
36,0.2180135756678674
37,0.11594425177505997
38,0.009209949115112631
39,-0.10205929300534262
40,-0.2177279101544956
41,-0.3376549779397333
42,-0.46169438370230953
43,-0.5896950045331075
44,-0.7215008913926277
45,-0.8569514591108746
46,-0.9958816820356431
47,-1.1381222950908603
48,-1.2835000000000023
49,-1.4318376764233591
50,-1.5829545977518744
51,-1.73666665129469
52,-1.8927865625920866
53,-2.051124123580579
54,-2.2114864243321333
55,-2.3736780880852035
56,-2.537501509281218
57,-2.7027570943165093
58,-2.869243504716388
59,-3.036757902435045
60,-3.2050961969824745
61,-3.374053294077296
62,-3.543423345522549
63,-3.7130000000000036
64,-3.8825766544774543
65,-4.051946705922707
66,-4.220903803017531
67,-4.389242097564961
68,-4.556756495283619
69,-4.723242905683495
70,-4.888498490718788
71,-5.052321911914801
72,-5.214513575667872
73,-5.374875876419427
74,-5.5332134374079205
75,-5.689333348705317
76,-5.843045402248132
77,-5.994162323576647
78,-6.142500000000002
79,-6.287877704909146
80,-6.430118317964361
81,-6.5690485408891295
82,-6.704499108607377
83,-6.836304995466897
84,-6.964305616297693
85,-7.08834502206027
86,-7.208272089845509
87,-7.32394070699466
88,-7.435209949115117
89,-7.541944251775064
90,-7.64401357566787
