x,y
0,-8.151917378685399
1,-8.213505012820942
2,-8.270051684101482
3,-8.32148849911841
4,-8.367752790035851
5,-8.40878819094181
6,-8.444544706521285
7,-8.47497877296792
8,-8.500053311059753
9,-8.519737771334556
10,-8.53400817130965
11,-8.542847124700844
12,-8.54624386260497
13,-8.54419424662012
14,-8.536700773887652
15,-8.523772574049811
16,-8.505425398126658
17,-8.481681599325892
18,-8.452570105808903
19,-8.418126385446257
20,-8.37839240260557
21,-8.333416567024377
22,-8.283253674830341
23,-8.227964841780599
24,-8.167617428801629
25,-8.102284959920341
26,-8.032047032686373
27,-7.956989221194734
28,-7.877202971826955
29,-7.7927854918377655
30,-7.7038396309230155
31,-7.610473755913167
32,-7.512801618745012
33,-7.41094221787245
34,-7.305019653285204
35,-7.195162975312105
36,-7.081506027393141
37,-6.964187283011838
38,-6.843349676986658
39,-6.719140431326935
40,-6.591710875865539
41,-6.461216263886788
42,-6.327815582974216
43,-6.191671361308713
44,-6.052949469652977
45,-5.9118189192635135
46,-5.7684516559764845
47,-5.623022350718166
48,-5.47570818669535
49,-5.326688643524891
50,-5.176145278565443
51,-5.024261505717776
52,-4.87122237196321
53,-4.717214331912349
54,-4.562425020638878
55,-4.407043025075113
56,-4.251257654247894
57,-4.095258708634673
58,-3.939236248920882
59,-3.7833803644402693
60,-3.6278809415803157
61,-3.4729274324349237
62,-3.3187086239862285
63,-3.165412408096741
64,-3.013225552592047
65,-2.862333473712995
66,-2.712920010214554
67,-2.565167199386617
68,-2.4192550552696037
69,-2.2753613493350784
70,-2.1336613938985933
71,-1.9943278285286425
72,-1.8575304097119423
73,-1.7234358040312916
74,-1.5922073851080214
75,-1.4640050345564035
76,-1.338984947192525
77,-1.2172994407349702
78,-1.099096770229146
79,-0.9845209474213342
80,-0.8737115653025737
81,-0.766803628036102
82,-0.6639273864755693
83,-0.5652081794744508
84,-0.4707662811799469
85,-0.38071675449747183
86,-0.29516931090421955
87,-0.2142281767826379
88,-0.1379919664366265
89,-0.06655356194520354
90,6.103300460448958e-17
